#name	ra	dec	avgflux	peakflux
3C84	49.95067	41.5117	21433.22727	41788
3C279	194.04652	-5.78931	19241.75	32582
3C273	187.2779	2.05241	17595.52174	29327
PKSB1921-293	291.21274	-29.2417	14269.42857	16040
3C454.3	343.49063	16.14821	11720.46774	27546
NRAO150	59.87395	50.96393	10899	13672
4C+39.25	141.76256	39.03913	9883.518519	12005
4C+06.69	327.02274	6.96072	6348.909091	9098
PKS0727-11	112.57964	-11.68683	6287.176471	8497
PKS2134+004	324.1607	0.6984	6177.73913	7118
3C345	250.745	39.8103	6114	10600
PKS1741-03	265.99524	-3.83462	5747.285714	7010
PKS0420-01	65.81584	-1.34252	5695.464286	11611
3C446	336.4469	-4.95039	5512.954545	7596
PKS1335-127	204.41576	-12.95686	5046.75	8036
PKS0607-15	92.42062	-15.7113	5033.9375	10501
BLLac	330.6804	42.27777	4277.734375	12315
4C+01.28	164.62335	1.56634	4268.736842	5756
DA406	243.4211	34.21331	3876.269231	5667
4C+73.18	291.95206	73.9671	3867.285714	6873
NRAO530	263.26126	-13.08043	3844.032258	5647
B22023+33	306.29517	33.71673	3751.5	5696
PKS2255-282	344.52484	-27.97257	3730.142857	5513
OT081	267.88675	9.6502	3684.125	7087
DA55	24.24414	47.85808	3642.625	5612
OI280	117.71686	12.51801	3614.9375	4894
DA193	88.87836	39.81366	3543.117647	4819
CTA102	338.1517	11.7308	3532.821429	5851
OH471	101.63344	44.85461	3519.9	4303
OJ287	133.70364	20.10851	3444.969072	7281
TXS2013+370	303.86972	37.1832	3325.5	4116
PKS0528+134	82.73507	13.53199	3235.133333	8741
S50212+73	34.37839	73.82573	3119.909091	3776
4C+38.41	248.8145	38.1346	3081.081081	4331
3C111	64.58865	38.02661	3052.585366	6554
4C+28.07	39.46836	28.8025	2872.105263	4763
PKS0648-16	102.60242	-16.6277	2859	3776
TXS2005+403	301.93726	40.49683	2824.9375	3884
4C+31.63	330.8124	31.7606	2816.5	3445
3C418	309.6543	51.32018	2748.545455	3539
PKS0723-008	111.461	-0.91571	2731.454545	4806
PKS2155-152	329.52618	-15.01926	2724.357143	4550
PKS1510-08	228.21056	-9.09995	2717.550725	6684
